Date,Word,Count
2020-01-01,speech,103
2020-01-01,results,56
2020-01-01,using,45
2020-01-01,study,43
2020-01-01,data,37
2020-01-01,used,32
2020-01-01,also,31
2020-01-01,paper,30
2020-01-01,however,28
2020-01-01,different,27
2020-01-01,methods,27
2020-01-01,present,26
2020-01-01,analysis,25
2020-01-01,processing,25
2020-01-01,recognition,23
2020-01-02,speech,134
2020-01-02,results,74
2020-01-02,using,60
2020-01-02,study,59
2020-01-02,used,45
2020-01-02,data,44
2020-01-02,abstract,42
2020-01-02,also,39
2020-01-02,different,37
2020-01-02,paper,36
2020-01-02,methods,36
2020-01-02,however,35
2020-01-02,analysis,34
2020-01-02,present,33
2020-01-02,processing,33
2020-01-03,speech,142
2020-01-03,results,77
2020-01-03,using,61
2020-01-03,study,61
2020-01-03,used,50
2020-01-03,data,47
2020-01-03,abstract,43
2020-01-03,also,42
2020-01-03,paper,40
2020-01-03,different,39
2020-01-03,methods,37
2020-01-03,however,36
2020-01-03,analysis,36
2020-01-03,processing,36
2020-01-03,present,34
2020-01-04,speech,145
2020-01-04,results,80
2020-01-04,using,64
2020-01-04,study,61
2020-01-04,used,53
2020-01-04,data,47
2020-01-04,abstract,43
2020-01-04,also,42
2020-01-04,paper,42
2020-01-04,different,41
2020-01-04,methods,37
2020-01-04,processing,37
2020-01-04,however,36
2020-01-04,analysis,36
2020-01-04,present,35
2020-01-05,speech,147
2020-01-05,results,81
2020-01-05,using,64
2020-01-05,study,62
2020-01-05,used,53
2020-01-05,data,48
2020-01-05,abstract,43
2020-01-05,paper,43
2020-01-05,different,43
2020-01-05,also,42
2020-01-05,methods,37
2020-01-05,processing,37
2020-01-05,analysis,37
2020-01-05,however,36
2020-01-05,present,35
2020-01-06,speech,155
2020-01-06,results,87
2020-01-06,using,68
2020-01-06,study,66
2020-01-06,used,54
2020-01-06,data,51
2020-01-06,paper,45
2020-01-06,abstract,44
2020-01-06,different,44
2020-01-06,also,43
2020-01-06,methods,41
2020-01-06,analysis,39
2020-01-06,processing,37
2020-01-06,however,37
2020-01-06,present,37
2020-01-07,speech,161
2020-01-07,results,91
2020-01-07,study,70
2020-01-07,using,69
2020-01-07,used,57
2020-01-07,data,54
2020-01-07,paper,45
2020-01-07,different,45
2020-01-07,also,45
2020-01-07,abstract,44
2020-01-07,methods,42
2020-01-07,analysis,39
2020-01-07,processing,38
2020-01-07,present,38
2020-01-07,however,37
2020-01-08,speech,168
2020-01-08,results,97
2020-01-08,study,76
2020-01-08,using,69
2020-01-08,used,59
2020-01-08,data,56
2020-01-08,also,48
2020-01-08,paper,45
2020-01-08,different,45
2020-01-08,abstract,44
2020-01-08,methods,42
2020-01-08,language,41
2020-01-08,based,40
2020-01-08,analysis,39
2020-01-08,processing,39
2020-01-09,speech,173
2020-01-09,results,100
2020-01-09,study,80
2020-01-09,using,73
2020-01-09,used,60
2020-01-09,data,56
2020-01-09,also,48
2020-01-09,different,46
2020-01-09,paper,45
2020-01-09,abstract,44
2020-01-09,methods,43
2020-01-09,language,43
2020-01-09,based,41
2020-01-09,however,40
2020-01-09,analysis,39
2020-01-10,speech,183
2020-01-10,results,107
2020-01-10,study,87
2020-01-10,using,76
2020-01-10,used,64
2020-01-10,data,62
2020-01-10,also,50
2020-01-10,different,50
2020-01-10,methods,47
2020-01-10,abstract,46
2020-01-10,language,46
2020-01-10,paper,45
2020-01-10,analysis,44
2020-01-10,compared,42
2020-01-10,participants,42
2020-01-11,speech,185
2020-01-11,results,107
2020-01-11,study,88
2020-01-11,using,76
2020-01-11,used,65
2020-01-11,data,62
2020-01-11,also,50
2020-01-11,different,50
2020-01-11,language,48
2020-01-11,methods,47
2020-01-11,abstract,46
2020-01-11,paper,45
2020-01-11,analysis,44
2020-01-11,compared,42
2020-01-11,participants,42
2020-01-12,speech,188
2020-01-12,results,108
2020-01-12,study,91
2020-01-12,using,76
2020-01-12,used,66
2020-01-12,data,62
2020-01-12,also,50
2020-01-12,different,50
2020-01-12,language,49
2020-01-12,methods,48
2020-01-12,abstract,48
2020-01-12,paper,46
2020-01-12,analysis,45
2020-01-12,however,44
2020-01-12,performance,43
2020-01-13,speech,197
2020-01-13,results,114
2020-01-13,study,93
2020-01-13,using,80
2020-01-13,used,68
2020-01-13,data,66
2020-01-13,different,52
2020-01-13,also,51
2020-01-13,methods,51
2020-01-13,language,50
2020-01-13,abstract,49
2020-01-13,analysis,47
2020-01-13,paper,46
2020-01-13,however,45
2020-01-13,research,45
2020-01-14,speech,206
2020-01-14,results,120
2020-01-14,study,96
2020-01-14,using,86
2020-01-14,used,72
2020-01-14,data,69
2020-01-14,also,54
2020-01-14,methods,54
2020-01-14,abstract,54
2020-01-14,different,53
2020-01-14,language,52
2020-01-14,paper,49
2020-01-14,however,49
2020-01-14,analysis,48
2020-01-14,processing,48
2020-01-15,speech,221
2020-01-15,results,125
2020-01-15,study,101
2020-01-15,using,89
2020-01-15,used,78
2020-01-15,data,73
2020-01-15,also,57
2020-01-15,different,57
2020-01-15,methods,55
2020-01-15,abstract,55
2020-01-15,language,55
2020-01-15,paper,54
2020-01-15,however,53
2020-01-15,analysis,51
